"","vehicle","model","region","season","month","year","distance","efficiency","kwh"
"4594","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",12,2019,845,7,120.7
"4595","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",1,2020,391,7.1,55.1
"4596","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",2,2020,367,7,52.4
"4597","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Autumn",3,2020,356,7.3,48.8
"4598","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Autumn",4,2020,133,7.9,16.8
"4599","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Autumn",5,2020,393,6.9,57
"4600","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Winter",6,2020,353,7.1,49.7
"4601","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Winter",7,2020,549,6.9,79.6
"4602","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Winter",8,2020,569,7.2,79
"4603","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Spring",9,2020,565,7.2,78.5
"4604","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",12,2020,642,6.8,94.4
"4605","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",1,2021,282,6.9,40.9
"4606","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",2,2021,164,7.1,23.1
"4607","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Autumn",3,2021,338,7.2,46.9
"4608","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Autumn",4,2021,314,7.3,43
"4609","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Autumn",5,2021,440,7,62.9
"4610","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Winter",6,2021,344,6.7,51.3
"4611","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Winter",7,2021,426,6.6,64.5
"4612","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Winter",8,2021,186,6.9,27
"4613","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Spring",11,2021,234,6.6,35.5
"4614","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",12,2021,337,7.1,47.5
"4615","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",1,2022,226,6.9,32.8
"4616","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",2,2022,313,7.1,44.1
"4617","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Autumn",3,2022,389,7.4,52.6
"4618","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Autumn",4,2022,335,7.3,45.9
"4619","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Autumn",5,2022,385,7.2,53.5
"4620","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Winter",6,2022,419,7,59.9
"4621","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Winter",7,2022,440,6.3,69.8
"4622","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Winter",8,2022,539,7,77
"4623","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Spring",9,2022,180,7.2,25
"4624","19505080","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",12,2022,324,7,46.3
"4625","d0fbad4d","Nissan Leaf (24 kWh) 2013-2016","Auckland","Winter",6,2017,1381,7,197.3
"4626","d0fbad4d","Nissan Leaf (24 kWh) 2013-2016","Auckland","Winter",7,2017,1094,6.5,168.3
"4627","d0fbad4d","Nissan Leaf (24 kWh) 2013-2016","Auckland","Spring",10,2017,911,8,113.9
"4628","d0fbad4d","Nissan Leaf (24 kWh) 2013-2016","Auckland","Spring",11,2017,1759,7.7,228.4
"4629","d0fbad4d","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",12,2017,941,7.6,123.8
"4630","d0fbad4d","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",1,2018,1009,7.1,142.1
"4631","d0fbad4d","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",2,2018,1318,7.4,178.1
"4632","d0fbad4d","Nissan Leaf (24 kWh) 2013-2016","Auckland","Autumn",3,2018,861,7.5,114.8
"4633","d0fbad4d","Nissan Leaf (24 kWh) 2013-2016","Auckland","Autumn",4,2018,1349,7.3,184.8
"4634","d0fbad4d","Nissan Leaf (24 kWh) 2013-2016","Auckland","Autumn",5,2018,1071,7.1,150.8
"4635","d0fbad4d","Nissan Leaf (24 kWh) 2013-2016","Auckland","Spring",9,2018,1559,7.4,210.7
"4636","d0fbad4d","Nissan Leaf (24 kWh) 2013-2016","Auckland","Spring",10,2018,1207,7.6,158.8
"4637","d0fbad4d","Nissan Leaf (24 kWh) 2013-2016","Auckland","Spring",11,2018,1505,7.8,192.9
"4638","d0fbad4d","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",2,2019,1376,7.6,181.1
"4639","d0fbad4d","Nissan Leaf (24 kWh) 2013-2016","Auckland","Autumn",3,2019,2271,7.8,291.2
"4640","d0fbad4d","Nissan Leaf (24 kWh) 2013-2016","Auckland","Autumn",4,2019,889,7.4,120.1
"4641","d0fbad4d","Nissan Leaf (24 kWh) 2013-2016","Auckland","Autumn",5,2019,1779,7,254.1
"4642","d0fbad4d","Nissan Leaf (24 kWh) 2013-2016","Auckland","Winter",6,2019,1898,6.7,283.3
"4643","d0fbad4d","Nissan Leaf (24 kWh) 2013-2016","Auckland","Winter",7,2019,1090,6.6,165.2
"4644","d0fbad4d","Nissan Leaf (24 kWh) 2013-2016","Auckland","Winter",8,2019,1693,6.9,245.4
"4645","d0fbad4d","Nissan Leaf (24 kWh) 2013-2016","Auckland","Spring",11,2019,1526,7,218
"4646","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Autumn",5,2018,2835,7.4,383.1
"4647","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Winter",6,2018,2470,6.4,385.9
"4648","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Winter",7,2018,2375,6.6,359.8
"4649","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Winter",8,2018,1970,6.8,289.7
"4650","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Spring",9,2018,2545,7.1,358.5
"4651","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Spring",10,2018,2945,7.1,414.8
"4652","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Spring",11,2018,3056,6.9,442.9
"4653","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",12,2018,749,7,107
"4654","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",1,2019,3410,7.3,467.1
"4655","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",2,2019,2050,7.4,277
"4656","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Autumn",3,2019,2510,7.4,339.2
"4657","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Autumn",4,2019,1931,7.1,272
"4658","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Autumn",5,2019,2279,7.2,316.5
"4659","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Winter",6,2019,2370,7,338.6
"4660","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Winter",7,2019,2200,7.1,309.9
"4661","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Winter",8,2019,2460,7.1,346.5
"4662","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Spring",9,2019,2190,7.2,304.2
"4663","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",12,2019,2361,7.5,314.8
"4664","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",1,2020,1550,7.6,203.9
"4665","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",2,2020,1939,7.5,258.5
"4666","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Autumn",3,2020,1730,7.6,227.6
"4667","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Autumn",4,2020,820,7.1,115.5
"4668","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Autumn",5,2020,1550,6.7,231.3
"4669","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Winter",6,2020,1408,6.4,220
"4670","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Spring",9,2020,1414,6.6,214.2
"4671","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Spring",10,2020,1601,7.2,222.4
"4672","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Spring",11,2020,3929,6.8,577.8
"4673","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",12,2020,100,7.2,13.9
"4674","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",1,2021,100,7,14.3
"4675","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",2,2021,756,7.2,105
"4676","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Autumn",3,2021,665,6.9,96.4
"4677","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Autumn",4,2021,503,6.4,78.6
"4678","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Autumn",5,2021,1826,6.8,268.5
"4679","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Winter",8,2021,1019,5.4,188.7
"4680","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Spring",9,2021,1119,5.8,192.9
"4681","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Spring",10,2021,572,6.2,92.3
"4682","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Spring",11,2021,1084,6.7,161.8
"4683","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",12,2021,847,6.8,124.6
"4684","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",1,2022,629,6.9,91.2
"4685","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",2,2022,1598,7.1,225.1
"4686","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Autumn",3,2022,1402,7.2,194.7
"4687","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Spring",9,2022,1400,6.7,209
"4688","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Spring",10,2022,2186,7.2,303.6
"4689","cb07f720","Nissan Leaf (24 kWh) 2013-2016","Auckland","Spring",11,2022,1464,7.6,192.6
"4690","16cc4f8c","Nissan Leaf (30 kWh)","Auckland","Autumn",3,2017,3658,6.6,554.2
"4691","16cc4f8c","Nissan Leaf (30 kWh)","Auckland","Autumn",4,2017,5289,6.66,794.1
"4692","16cc4f8c","Nissan Leaf (30 kWh)","Auckland","Autumn",5,2017,4106,6.5,631.7
"4693","16cc4f8c","Nissan Leaf (30 kWh)","Auckland","Winter",6,2017,2397,7.23,331.5
"4694","16cc4f8c","Nissan Leaf (30 kWh)","Auckland","Winter",7,2017,3434,6.53,525.9
"4695","16cc4f8c","Nissan Leaf (30 kWh)","Auckland","Winter",8,2017,3079,6.33,486.4
"4696","16cc4f8c","Nissan Leaf (30 kWh)","Auckland","Spring",9,2017,3065,6.28,488.1
"4697","16cc4f8c","Nissan Leaf (30 kWh)","Auckland","Spring",10,2017,3290,6.58,500
"4698","16cc4f8c","Nissan Leaf (30 kWh)","Auckland","Spring",11,2017,4636,6.62,700.3
"4699","16cc4f8c","Nissan Leaf (30 kWh)","Auckland","Summer",12,2017,2795,6.62,422.2
"4700","16cc4f8c","Nissan Leaf (30 kWh)","Auckland","Summer",1,2018,3135,6.49,483.1
"4701","16cc4f8c","Nissan Leaf (30 kWh)","Auckland","Summer",2,2018,3915,6.32,619.5
"4702","16cc4f8c","Nissan Leaf (30 kWh)","Auckland","Autumn",3,2018,5922,6.7,883.9
"4703","16cc4f8c","Nissan Leaf (30 kWh)","Auckland","Autumn",4,2018,2708,6.62,409.1
"4704","16cc4f8c","Nissan Leaf (30 kWh)","Auckland","Autumn",5,2018,2205,6.45,341.9
"4705","16cc4f8c","Nissan Leaf (30 kWh)","Auckland","Winter",6,2018,2501,6.21,402.7
"4706","16cc4f8c","Nissan Leaf (30 kWh)","Auckland","Winter",7,2018,1251,6.17,202.8
"4707","16cc4f8c","Nissan Leaf (30 kWh)","Auckland","Winter",8,2018,1745,6.41,272.2
"4708","16cc4f8c","Nissan Leaf (30 kWh)","Auckland","Spring",9,2018,2467,6.28,392.8
"4709","16cc4f8c","Nissan Leaf (30 kWh)","Auckland","Spring",10,2018,3768,6.62,569.2
"4710","16cc4f8c","Nissan Leaf (30 kWh)","Auckland","Spring",11,2018,3094,6.49,476.7
"4711","16cc4f8c","Nissan Leaf (30 kWh)","Auckland","Summer",12,2018,3468,6.37,544.4
"4712","16cc4f8c","Nissan Leaf (30 kWh)","Auckland","Summer",1,2019,1954,6.66,293.4
"4713","16cc4f8c","Nissan Leaf (30 kWh)","Auckland","Summer",2,2019,1834,6.45,284.3
"4714","16cc4f8c","Nissan Leaf (30 kWh)","Auckland","Autumn",3,2019,2182,6.49,336.2
"4715","16cc4f8c","Nissan Leaf (30 kWh)","Auckland","Autumn",4,2019,2873,6.28,457.5
"4716","16cc4f8c","Nissan Leaf (30 kWh)","Auckland","Autumn",5,2019,4644,6.29,738.3
"4717","16cc4f8c","Nissan Leaf (30 kWh)","Auckland","Winter",6,2019,2482,6.06,409.6
"4718","16cc4f8c","Nissan Leaf (30 kWh)","Auckland","Winter",7,2019,4201,5.84,719.3
"4719","16cc4f8c","Nissan Leaf (30 kWh)","Auckland","Winter",8,2019,2649,5.95,445.2
"4720","16cc4f8c","Nissan Leaf (30 kWh)","Auckland","Spring",9,2019,2643,5.95,444.2
"4721","16cc4f8c","Nissan Leaf (30 kWh)","Auckland","Spring",10,2019,1816,6.17,294.3
"4722","16cc4f8c","Nissan Leaf (30 kWh)","Auckland","Spring",10,2020,713,6.41,111.2
"4723","e8249238","Nissan Leaf (24 kWh) 2013-2016","Christchurch","Summer",12,2017,662,7.6,87.1
"4724","e8249238","Nissan Leaf (24 kWh) 2013-2016","Christchurch","Summer",1,2018,678,7.3,92.9
"4725","e8249238","Nissan Leaf (24 kWh) 2013-2016","Christchurch","Summer",2,2018,597,7,85.3
"4726","e8249238","Nissan Leaf (24 kWh) 2013-2016","Christchurch","Autumn",3,2018,694,7.5,92.5
"4727","e8249238","Nissan Leaf (24 kWh) 2013-2016","Christchurch","Autumn",4,2018,813,6.6,123.2
"4728","e8249238","Nissan Leaf (24 kWh) 2013-2016","Christchurch","Autumn",5,2018,690,6.1,113.1
"4729","e8249238","Nissan Leaf (24 kWh) 2013-2016","Christchurch","Winter",6,2018,940,6,156.7
"4730","e8249238","Nissan Leaf (24 kWh) 2013-2016","Christchurch","Winter",7,2018,639,6.3,101.4
"4731","e8249238","Nissan Leaf (24 kWh) 2013-2016","Christchurch","Winter",8,2018,686,6.3,108.9
"4732","e8249238","Nissan Leaf (24 kWh) 2013-2016","Christchurch","Spring",9,2018,948,7.2,131.7
"4733","e8249238","Nissan Leaf (24 kWh) 2013-2016","Christchurch","Spring",10,2018,820,6.6,124.2
"4734","e8249238","Nissan Leaf (24 kWh) 2013-2016","Christchurch","Spring",11,2018,700,7.4,94.6
"4735","e8249238","Nissan Leaf (24 kWh) 2013-2016","Christchurch","Summer",12,2018,895,7.3,122.6
"4736","e8249238","Nissan Leaf (24 kWh) 2013-2016","Christchurch","Summer",1,2019,682,7.2,94.7
"4737","e8249238","Nissan Leaf (24 kWh) 2013-2016","Christchurch","Summer",2,2019,445,7.2,61.8
"4738","e8249238","Nissan Leaf (24 kWh) 2013-2016","Christchurch","Autumn",3,2019,670,7.8,85.9
"4739","e8249238","Nissan Leaf (24 kWh) 2013-2016","Christchurch","Autumn",4,2019,665,6.8,97.8
"4740","e8249238","Nissan Leaf (24 kWh) 2013-2016","Christchurch","Winter",6,2019,590,6.2,95.2
"4741","e8249238","Nissan Leaf (24 kWh) 2013-2016","Christchurch","Winter",7,2019,593,5.8,102.2
"4742","e8249238","Nissan Leaf (24 kWh) 2013-2016","Christchurch","Winter",8,2019,772,6.5,118.8
"4743","e8249238","Nissan Leaf (24 kWh) 2013-2016","Christchurch","Spring",9,2019,796,6.3,126.3
"4744","e8249238","Nissan Leaf (24 kWh) 2013-2016","Christchurch","Spring",10,2019,863,7.2,119.9
"4745","e8249238","Nissan Leaf (24 kWh) 2013-2016","Christchurch","Spring",11,2019,817,7.6,107.5
"4746","0889a75a","Nissan Leaf (24 kWh) 2013-2016","Coastal Otago","Spring",11,2017,1918,6.9,278
"4747","0889a75a","Nissan Leaf (24 kWh) 2013-2016","Coastal Otago","Summer",12,2017,980,6.7,146.3
"4748","0889a75a","Nissan Leaf (24 kWh) 2013-2016","Coastal Otago","Summer",1,2018,1388,6.8,204.1
"4749","0889a75a","Nissan Leaf (24 kWh) 2013-2016","Coastal Otago","Summer",2,2018,1188,6.9,172.2
"4750","0889a75a","Nissan Leaf (24 kWh) 2013-2016","Coastal Otago","Autumn",3,2018,1671,6.8,245.7
"4751","0889a75a","Nissan Leaf (24 kWh) 2013-2016","Coastal Otago","Autumn",4,2018,1113,6.5,171.2
"4752","0889a75a","Nissan Leaf (24 kWh) 2013-2016","Coastal Otago","Autumn",5,2018,2291,6.4,358
"4753","0889a75a","Nissan Leaf (24 kWh) 2013-2016","Coastal Otago","Winter",6,2018,1557,6.2,251.1
"4754","0889a75a","Nissan Leaf (24 kWh) 2013-2016","Coastal Otago","Winter",7,2018,1636,6.4,255.6
"4755","0889a75a","Nissan Leaf (24 kWh) 2013-2016","Coastal Otago","Winter",8,2018,1884,6.4,294.4
"4756","3c946582","Nissan Leaf (24 kWh) 2013-2016","Coastal Otago","Winter",7,2017,700,6.3,111.1
"4757","81bb92e4","Hyundai Ioniq (EV)","Auckland","Autumn",3,2018,1595,8.8,181.2
"4758","81bb92e4","Hyundai Ioniq (EV)","Auckland","Autumn",4,2018,2852,7.84,363.8
"4759","81bb92e4","Hyundai Ioniq (EV)","Auckland","Autumn",5,2018,296,7.5,39.5
"4760","81bb92e4","Hyundai Ioniq (EV)","Auckland","Winter",6,2018,100,7.3,13.7
"4761","81bb92e4","Hyundai Ioniq (EV)","Auckland","Winter",7,2018,854,7.8,109.5
"4762","81bb92e4","Hyundai Ioniq (EV)","Auckland","Winter",8,2018,1650,8.5,194.1
"4763","81bb92e4","Hyundai Ioniq (EV)","Auckland","Spring",9,2018,2012,8.8,228.6
"4764","81bb92e4","Hyundai Ioniq (EV)","Auckland","Spring",10,2018,1820,9.3,195.7
"4765","81bb92e4","Hyundai Ioniq (EV)","Auckland","Spring",11,2018,2131,9.3,229.1
"4766","81bb92e4","Hyundai Ioniq (EV)","Auckland","Summer",12,2018,2239,9.2,243.4
"4767","81bb92e4","Hyundai Ioniq (EV)","Auckland","Summer",1,2019,3007,9.5,316.5
"4768","81bb92e4","Hyundai Ioniq (EV)","Auckland","Summer",2,2019,1120,9.3,120.4
"4769","81bb92e4","Hyundai Ioniq (EV)","Auckland","Autumn",5,2019,2173,8.4,258.7
"4770","81bb92e4","Hyundai Ioniq (EV)","Auckland","Winter",8,2019,1616,7.9,204.6
"4771","6c566294","Nissan Leaf (24 kWh) 2013-2016","Whangarei","Spring",10,2018,351,7.5,46.8
"4772","6c566294","Nissan Leaf (24 kWh) 2013-2016","Whangarei","Spring",11,2018,274,7.6,36.1
"4773","6c566294","Nissan Leaf (24 kWh) 2013-2016","Whangarei","Summer",12,2018,408,7.6,53.7
"4774","6c566294","Nissan Leaf (24 kWh) 2013-2016","Whangarei","Spring",11,2021,216,7.8,27.7
"4775","6c566294","Nissan Leaf (24 kWh) 2013-2016","Whangarei","Summer",12,2021,570,7.8,73.1
"4776","487ead19","Nissan Leaf (24 kWh) 2011-2012","Wellington","Autumn",3,2018,1073,5,214.6
"4777","487ead19","Nissan Leaf (24 kWh) 2011-2012","Wellington","Autumn",4,2018,720,5.5,130.9
"4778","487ead19","Nissan Leaf (24 kWh) 2011-2012","Wellington","Autumn",5,2018,743,4.9,151.6
"4779","487ead19","Nissan Leaf (24 kWh) 2011-2012","Wellington","Winter",6,2018,950,4.9,193.9
"4780","487ead19","Nissan Leaf (24 kWh) 2011-2012","Wellington","Winter",7,2018,778,5,155.6
"4781","487ead19","Nissan Leaf (24 kWh) 2011-2012","Wellington","Winter",8,2018,963,5.3,181.7
"4782","487ead19","Nissan Leaf (24 kWh) 2011-2012","Wellington","Spring",9,2018,786,5.1,154.1
"4783","487ead19","Nissan Leaf (24 kWh) 2011-2012","Wellington","Spring",10,2018,1320,5.5,240
"4784","487ead19","Nissan Leaf (24 kWh) 2011-2012","Wellington","Spring",11,2018,698,5.8,120.3
"4785","487ead19","Nissan Leaf (24 kWh) 2011-2012","Wellington","Summer",12,2018,771,5.9,130.7
"4786","487ead19","Nissan Leaf (24 kWh) 2011-2012","Wellington","Summer",1,2019,340,5.9,57.6
"4787","487ead19","Nissan Leaf (24 kWh) 2011-2012","Wellington","Summer",2,2019,668,6.1,109.5
"4788","487ead19","Nissan Leaf (24 kWh) 2011-2012","Wellington","Autumn",3,2019,1148,5.9,194.6
"4789","487ead19","Nissan Leaf (24 kWh) 2011-2012","Wellington","Autumn",4,2019,1271,5.7,223
"4790","487ead19","Nissan Leaf (24 kWh) 2011-2012","Wellington","Autumn",5,2019,933,5.6,166.6
"4791","487ead19","Nissan Leaf (24 kWh) 2011-2012","Wellington","Spring",9,2019,818,5.1,160.4
"4792","487ead19","Nissan Leaf (24 kWh) 2011-2012","Wellington","Spring",10,2019,759,5.5,138
"4793","487ead19","Nissan Leaf (24 kWh) 2011-2012","Wellington","Spring",11,2019,885,5.3,167
"4794","487ead19","Nissan Leaf (24 kWh) 2011-2012","Wellington","Summer",12,2019,1738,5.5,316
"4795","487ead19","Nissan Leaf (24 kWh) 2011-2012","Wellington","Summer",1,2020,1077,5.9,182.5
"4796","487ead19","Nissan Leaf (24 kWh) 2011-2012","Wellington","Summer",2,2020,1104,6,184
"4797","487ead19","Nissan Leaf (24 kWh) 2011-2012","Wellington","Autumn",3,2020,1070,6.1,175.4
"4798","487ead19","Nissan Leaf (24 kWh) 2011-2012","Wellington","Autumn",4,2020,28,4.5,6.2
"4799","487ead19","Nissan Leaf (24 kWh) 2011-2012","Wellington","Autumn",5,2020,141,4.9,28.8
"4800","487ead19","Nissan Leaf (24 kWh) 2011-2012","Wellington","Winter",6,2020,693,4.5,154
"4801","487ead19","Nissan Leaf (24 kWh) 2011-2012","Wellington","Winter",7,2020,552,4.1,134.6
"4802","487ead19","Nissan Leaf (24 kWh) 2011-2012","Wellington","Winter",8,2020,649,5,129.8
"4803","487ead19","Nissan Leaf (24 kWh) 2011-2012","Wellington","Spring",9,2020,751,5.3,141.7
"4804","487ead19","Nissan Leaf (24 kWh) 2011-2012","Wellington","Spring",10,2020,850,5.4,157.4
"4805","487ead19","Nissan Leaf (24 kWh) 2011-2012","Wellington","Spring",11,2020,988,5.5,179.6
"4806","487ead19","Nissan Leaf (24 kWh) 2011-2012","Wellington","Summer",12,2020,1082,5.7,189.8
"4807","487ead19","Nissan Leaf (24 kWh) 2011-2012","Wellington","Summer",1,2021,607,5.5,110.4
"4808","487ead19","Nissan Leaf (24 kWh) 2011-2012","Wellington","Summer",2,2021,740,5.9,125.4
"4809","487ead19","Nissan Leaf (24 kWh) 2011-2012","Wellington","Autumn",3,2021,869,5.8,149.8
"4810","487ead19","Nissan Leaf (24 kWh) 2011-2012","Wellington","Autumn",4,2021,793,5.4,146.9
"4811","487ead19","Nissan Leaf (24 kWh) 2011-2012","Wellington","Autumn",5,2021,1007,5,201.4
"4812","487ead19","Nissan Leaf (24 kWh) 2011-2012","Wellington","Winter",6,2021,891,5.2,171.3
"4813","487ead19","Nissan Leaf (24 kWh) 2011-2012","Wellington","Winter",7,2021,715,5.1,140.2
"4814","487ead19","Nissan Leaf (24 kWh) 2011-2012","Wellington","Winter",8,2021,608,5.3,114.7
"4815","487ead19","Nissan Leaf (24 kWh) 2011-2012","Wellington","Spring",9,2021,1036,5.2,199.2
"4816","487ead19","Nissan Leaf (24 kWh) 2011-2012","Wellington","Spring",10,2021,1251,5.4,231.7
"4817","487ead19","Nissan Leaf (24 kWh) 2011-2012","Wellington","Spring",11,2021,1306,5.4,241.9
"4818","487ead19","Nissan Leaf (24 kWh) 2011-2012","Wellington","Summer",12,2021,857,5.6,153
"4819","487ead19","Nissan Leaf (24 kWh) 2011-2012","Wellington","Summer",1,2022,861,5.9,145.9
"4820","487ead19","Nissan Leaf (24 kWh) 2011-2012","Wellington","Summer",2,2022,620,5.7,108.8
"4821","487ead19","Nissan Leaf (24 kWh) 2011-2012","Wellington","Autumn",3,2022,901,5.7,158.1
"4822","487ead19","Nissan Leaf (24 kWh) 2011-2012","Wellington","Autumn",4,2022,508,5.6,90.7
"4823","487ead19","Nissan Leaf (24 kWh) 2011-2012","Wellington","Autumn",5,2022,675,5,135
"4824","487ead19","Nissan Leaf (24 kWh) 2011-2012","Wellington","Winter",6,2022,800,5.1,156.9
"4825","487ead19","Nissan Leaf (24 kWh) 2011-2012","Wellington","Winter",7,2022,931,4.9,190
"4826","487ead19","Nissan Leaf (24 kWh) 2011-2012","Wellington","Winter",8,2022,1224,5.4,226.7
"4827","487ead19","Nissan Leaf (24 kWh) 2011-2012","Wellington","Spring",9,2022,776,5.3,146.4
"4828","487ead19","Nissan Leaf (24 kWh) 2011-2012","Wellington","Spring",10,2022,1177,5.5,214
"4829","487ead19","Nissan Leaf (24 kWh) 2011-2012","Wellington","Spring",11,2022,912,5.8,157.2
"4830","487ead19","Nissan Leaf (24 kWh) 2011-2012","Wellington","Summer",12,2022,585,5.1,114.7
"4831","fb9da8a1","Nissan e-NV200 (24 kWh)","Coastal Otago","Autumn",3,2017,894,5.49,162.8
"4832","fb9da8a1","Nissan e-NV200 (24 kWh)","Coastal Otago","Autumn",4,2017,1066,5.46,195.2
"4833","fb9da8a1","Nissan e-NV200 (24 kWh)","Coastal Otago","Autumn",5,2017,766,4.76,160.9
"4834","fb9da8a1","Nissan e-NV200 (24 kWh)","Coastal Otago","Winter",6,2017,1126,4.5,250.2
"4835","fb9da8a1","Nissan e-NV200 (24 kWh)","Coastal Otago","Winter",7,2017,1138,4.7,242.1
"4836","fb9da8a1","Nissan e-NV200 (24 kWh)","Coastal Otago","Winter",8,2017,1097,5.3,207
"4837","fb9da8a1","Nissan e-NV200 (24 kWh)","Coastal Otago","Spring",9,2017,1523,5.3,287.4
"4838","fb9da8a1","Nissan e-NV200 (24 kWh)","Coastal Otago","Spring",10,2017,1069,5.6,190.9
"4839","fb9da8a1","Nissan e-NV200 (24 kWh)","Coastal Otago","Spring",11,2017,1849,6.1,303.1
"4840","fb9da8a1","Nissan e-NV200 (24 kWh)","Coastal Otago","Summer",12,2017,1255,5.6,224.1
"4841","fb9da8a1","Nissan e-NV200 (24 kWh)","Coastal Otago","Summer",1,2018,1222,5.3,230.6
"4842","fb9da8a1","Nissan e-NV200 (24 kWh)","Coastal Otago","Summer",2,2018,1124,5.2,216.2
"4843","fb9da8a1","Nissan e-NV200 (24 kWh)","Coastal Otago","Autumn",4,2018,1439,4.8,299.8
"4844","024139ba","Nissan Leaf (24 kWh) 2011-2012","Wellington","Autumn",4,2019,2184,5.8,376.6
"4845","024139ba","Nissan Leaf (24 kWh) 2011-2012","Wellington","Autumn",5,2019,2537,5.9,430
