"","vehicle","model","region","season","month","year","distance","efficiency","kwh"
"359","fb9d5800","Nissan Leaf (24 kWh) 2013-2016","Bay of Plenty","Summer",12,2019,2579,6.76,381.5
"360","fb9d5800","Nissan Leaf (24 kWh) 2013-2016","Bay of Plenty","Summer",1,2020,4427,7.2,614.9
"361","fb9d5800","Nissan Leaf (24 kWh) 2013-2016","Bay of Plenty","Summer",2,2020,3236,7.9,409.6
"362","fb9d5800","Nissan Leaf (24 kWh) 2013-2016","Bay of Plenty","Autumn",3,2020,1860,7.4,251.4
"363","fb9d5800","Nissan Leaf (24 kWh) 2013-2016","Bay of Plenty","Autumn",4,2020,618,6.7,92.2
"364","fb9d5800","Nissan Leaf (24 kWh) 2013-2016","Bay of Plenty","Autumn",5,2020,2514,6.6,380.9
"365","fb9d5800","Nissan Leaf (24 kWh) 2013-2016","Bay of Plenty","Winter",6,2020,3528,6.6,534.5
"366","fb9d5800","Nissan Leaf (24 kWh) 2013-2016","Bay of Plenty","Winter",7,2020,4118,7,588.3
"367","fb9d5800","Nissan Leaf (24 kWh) 2013-2016","Bay of Plenty","Winter",8,2020,3645,7,520.7
"368","fb9d5800","Nissan Leaf (24 kWh) 2013-2016","Bay of Plenty","Spring",9,2020,4814,7.1,678
"369","fb9d5800","Nissan Leaf (24 kWh) 2013-2016","Bay of Plenty","Spring",10,2020,4334,8,541.8
"370","14840f85","Hyundai Ioniq (EV)","Auckland","Summer",2,2020,1371,8.5,161.3
"371","14840f85","Hyundai Ioniq (EV)","Auckland","Autumn",3,2020,946,8.5,111.3
"372","14840f85","Hyundai Ioniq (EV)","Auckland","Autumn",4,2020,21,8.5,2.5
"373","14840f85","Hyundai Ioniq (EV)","Auckland","Autumn",5,2020,368,8.5,43.3
"374","14840f85","Hyundai Ioniq (EV)","Auckland","Winter",6,2020,1109,8.3,133.6
"375","14840f85","Hyundai Ioniq (EV)","Auckland","Winter",7,2020,1867,7.8,239.4
"376","14840f85","Hyundai Ioniq (EV)","Auckland","Winter",8,2020,497,7.8,63.7
"377","14840f85","Hyundai Ioniq (EV)","Auckland","Spring",9,2020,599,9.7,61.8
"378","14840f85","Hyundai Ioniq (EV)","Auckland","Spring",10,2020,1201,9.5,126.4
"379","14840f85","Hyundai Ioniq (EV)","Auckland","Spring",11,2020,1934,9.1,212.5
"380","14840f85","Hyundai Ioniq (EV)","Auckland","Summer",12,2020,978,9.1,107.5
"381","14840f85","Hyundai Ioniq (EV)","Auckland","Summer",1,2021,1271,9.9,128.4
"382","14840f85","Hyundai Ioniq (EV)","Auckland","Summer",2,2021,1034,9.4,110
"383","14840f85","Hyundai Ioniq (EV)","Auckland","Autumn",3,2021,1263,9.8,128.9
"384","14840f85","Hyundai Ioniq (EV)","Auckland","Autumn",4,2021,1076,9.5,113.3
"385","14840f85","Hyundai Ioniq (EV)","Auckland","Autumn",5,2021,1327,9,147.4
"386","14840f85","Hyundai Ioniq (EV)","Auckland","Winter",6,2021,1006,7.6,132.4
"387","14840f85","Hyundai Ioniq (EV)","Auckland","Winter",7,2021,1219,7.9,154.3
"388","14840f85","Hyundai Ioniq (EV)","Auckland","Winter",8,2021,608,6.5,93.5
"389","14840f85","Hyundai Ioniq (EV)","Auckland","Spring",9,2021,170,8,21.2
"390","14840f85","Hyundai Ioniq (EV)","Auckland","Spring",10,2021,532,11.3,47.1
