"","year","month","weather_region","vehicle","model","region","season","distance","efficiency","kwh","economy","wh","HDD","CDD","avg_temp","time_month","date","predict_vehicle_econ","wh_pred"
"24191",2022,1,"auckland","b0a61da9","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",764,7.1,107.6,140.845070422535,107600,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,138.420699994637,105753.414795903
"24192",2022,1,"auckland","1f26b8e6","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",1516,7.7,196.9,129.87012987013,196900,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,129.243679939488,195933.418788264
"24193",2022,1,"auckland","28cb36a6","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",501,8.5,58.9,117.647058823529,58900,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,122.362213340918,61303.4688837999
"24194",2022,1,"auckland","55783a1b","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",593,7.7,77,129.87012987013,77000,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,128.451790525355,76171.9117815357
"24195",2022,1,"auckland","76733900","Nissan e-NV200 (24 kWh)","Auckland","Summer",728,4.8,151.7,208.333333333333,151700,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,197.569080127817,143830.290333051
"24196",2022,1,"auckland","b99afb05","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",1093,6.8,160.7,147.058823529412,160700,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,135.901614583054,148540.464739278
"24197",2022,1,"auckland","82c3cd8f","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",500,6.9,72.5,144.927536231884,72500,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,140.570210702732,70285.1053513662
"24198",2022,1,"auckland","a4316200","Nissan Leaf (30 kWh)","Auckland","Summer",142,7.4,19.2,135.135135135135,19200,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,121.095379238043,17195.5438518021
"24199",2022,1,"auckland","dcab60ad","Tesla Model 3","Auckland","Summer",5720,6.1,937.7,163.934426229508,937700,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,153.219955462982,876418.145248255
"24200",2022,1,"auckland","dca573cf","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",438,7.5,58.4,133.333333333333,58400,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,137.874954417819,60389.2300350049
"24201",2022,1,"auckland","77bf830d","Nissan e-NV200 (24 kWh)","Auckland","Summer",676,6.9,98,144.927536231884,98000,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,150.806868625307,101945.443190708
"24202",2022,1,"auckland","1de5fc02","Nissan Leaf (24 kWh) 2011-2012","Auckland","Summer",521,6.3,82.7,158.730158730159,82700,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,160.249296032119,83489.883232734
"24203",2022,1,"auckland","cc6b5ef6","Jaguar I-PACE","Rodney","Summer",2107,5,421.4,200,421400,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,196.588269936878,414211.484757002
"24204",2022,1,"auckland","3ac8da7b","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",686,6.6,103.9,151.515151515152,103900,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,145.866434005197,100064.373727565
"24205",2022,1,"auckland","0718f3aa","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",562,6.7,83.9,149.253731343284,83900,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,143.367685831362,80572.6394372252
"24206",2022,1,"auckland","89f10574","Nissan Leaf (24 kWh) 2013-2016","Coromandel","Summer",624,7.5,83.2,133.333333333333,83200,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,140.196376889684,87482.5391791629
"24207",2022,1,"auckland","7e44d659","Nissan Leaf (30 kWh)","Auckland","Summer",780,7.3,106.8,136.986301369863,106800,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,129.848962765243,101282.19095689
"24208",2022,1,"auckland","8c0f4cbb","Nissan Leaf (24 kWh) 2013-2016","Auckland","Summer",1011,7.8,129.6,128.205128205128,129600,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,112.658660324694,113897.905588265
"24209",2022,1,"auckland","ec058b07","Nissan Leaf (24 kWh) 2011-2012","Auckland","Summer",705,7.6,92.8,131.578947368421,92800,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,143.803556646518,101381.507435795
"24210",2022,1,"auckland","41c5c3c0","Nissan e-NV200 (24 kWh)","Auckland","Summer",389,7.7,50.5,129.87012987013,50500,0.00631720430107527,0.28991935483871,21.0975806451613,61,2022-01-01,145.783922897519,56709.9460071349
